INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
20x4_5_U_10_100__R_inter;152;152.0;152.0;0.00;0.00
20x2_3_JobCorre_R_inter;582;573.0;576.2;-0.02;-0.01
20x6_3_JobCorre_R_uni;233;237.0;239.3;0.02;0.03
20x4_1_U_100_200__R_uni;631;626.0;628.4;-0.01;-0.00
25x4_1_U_100_200__R_inter;757;758.0;760.1;0.00;0.00
30x2_2_U_100_200__R_uni;2044;1984.0;2008.5;-0.03;-0.02
25x4_1_U_1_100__R_uni;169;168.0;177.3;-0.01;0.05
25x6_3_MachCorre_R_uni;217;207.0;214.6;-0.05;-0.01
30x2_1_MachCorre_R_inter;331;331.0;331.0;0.00;0.00
25x6_4_MachCorre_R_uni;158;161.0;165.7;0.02;0.05
30x4_4_U_1_100__R_uni;108;108.0;115.6;0.00;0.07
20x2_3_MachCorre_R_inter;1024;1028.0;1028.0;0.00;0.00
25x2_3_U_10_100__R_inter;485;477.0;479.7;-0.02;-0.01
30x2_2_JobCorre_R_inter;1131;1072.0;1090.3;-0.05;-0.04
20x6_2_U_10_100__R_uni;88;89.0;102.9;0.01;0.17
25x2_4_JobCorre_R_inter;846;844.0;868.5;-0.00;0.03
20x6_5_U_1_100__R_uni;66;65.0;74.5;-0.02;0.13
30x2_5_U_10_100__R_inter;663;645.0;659.0;-0.03;-0.01
25x6_2_JobCorre_R_inter;181;195.0;198.0;0.08;0.09
25x4_2_U_10_100__R_uni;173;181.0;184.0;0.05;0.06
25x2_4_U_10_100__R_inter;594;601.0;608.7;0.01;0.02
20x6_2_MachCorre_R_inter;162;165.0;172.5;0.02;0.06
20x4_5_U_100_200__R_inter;613;613.0;613.0;0.00;0.00
30x2_5_U_1_100__R_inter;604;586.0;600.5;-0.03;-0.01
25x4_3_U_100_200__R_inter;752;752.0;752.5;0.00;0.00
30x4_1_U_10_100__R_uni;179;179.0;182.5;0.00;0.02
30x2_1_U_10_100__R_uni;770;731.0;754.6;-0.05;-0.02
25x2_5_U_1_100__R_uni;576;561.0;565.5;-0.03;-0.02
30x6_2_MachCorre_R_uni;182;188.0;193.8;0.03;0.06
20x2_1_U_10_100__R_inter;454;454.0;464.5;0.00;0.02
25x6_4_U_1_100__R_uni;66;71.0;73.7;0.08;0.12
30x2_1_U_100_200__R_inter;2223;2107.0;2125.0;-0.05;-0.04
30x2_1_JobCorre_R_inter;1183;1202.0;1222.2;0.02;0.03
25x4_2_U_100_200__R_inter;752;752.0;752.8;0.00;0.00
30x4_4_JobCorre_R_inter;425;422.0;434.6;-0.01;0.02
