Instance;min sol
16x6_4_MachCorre_R_uni;80
16x6_4_U_1_100__R_inter;47
16x6_4_U_1_100__R_uni;35
16x6_4_U_10_100__R_inter;69
16x6_4_U_10_100__R_uni;57
16x6_4_U_100_200__R_inter;326
16x6_4_U_100_200__R_uni;331
16x6_5_JobCorre_R_inter;168
16x6_5_JobCorre_R_uni;126
16x6_5_MachCorre_R_inter;161
16x6_5_MachCorre_R_uni;72
16x6_5_U_1_100__R_inter;70
16x6_5_U_1_100__R_uni;56
16x6_5_U_10_100__R_inter;86
16x6_5_U_10_100__R_uni;78
16x6_5_U_100_200__R_inter;356
16x6_5_U_100_200__R_uni;335
20x2_1_JobCorre_R_inter;532
20x2_1_JobCorre_R_uni;559
20x2_1_MachCorre_R_inter;670
20x2_1_MachCorre_R_uni;555
20x2_1_U_1_100__R_inter;398
20x2_1_U_1_100__R_uni;343
20x2_1_U_10_100__R_inter;454
20x2_1_U_10_100__R_uni;397
20x2_1_U_100_200__R_inter;1389
20x2_1_U_100_200__R_uni;1397
20x2_2_JobCorre_R_inter;762
20x2_2_JobCorre_R_uni;690
20x2_2_MachCorre_R_inter;318
20x2_2_MachCorre_R_uni;189
20x2_2_U_1_100__R_inter;370
20x2_2_U_1_100__R_uni;376
20x2_2_U_10_100__R_inter;427
20x2_2_U_10_100__R_uni;443
20x2_2_U_100_200__R_inter;1364
20x2_2_U_100_200__R_uni;1393
20x2_3_JobCorre_R_inter;582
20x2_3_JobCorre_R_uni;678
20x2_3_MachCorre_R_inter;1024
20x2_3_MachCorre_R_uni;682
20x2_3_U_1_100__R_inter;474
20x2_3_U_1_100__R_uni;383
20x2_3_U_10_100__R_inter;511
20x2_3_U_10_100__R_uni;451
20x2_3_U_100_200__R_inter;1466
20x2_3_U_100_200__R_uni;1443
20x2_4_JobCorre_R_inter;527
20x2_4_JobCorre_R_uni;495
20x2_4_MachCorre_R_inter;200
20x2_4_MachCorre_R_uni;751
20x2_4_U_1_100__R_inter;369
20x2_4_U_1_100__R_uni;318
20x2_4_U_10_100__R_inter;395
20x2_4_U_10_100__R_uni;371
20x2_4_U_100_200__R_inter;1289
20x2_4_U_100_200__R_uni;1325
20x2_5_JobCorre_R_inter;633
20x2_5_JobCorre_R_uni;569
20x2_5_MachCorre_R_inter;718
20x2_5_MachCorre_R_uni;497
20x2_5_U_1_100__R_inter;500
20x2_5_U_1_100__R_uni;349
20x2_5_U_10_100__R_inter;531
20x2_5_U_10_100__R_uni;406
20x2_5_U_100_200__R_inter;1499
20x2_5_U_100_200__R_uni;1375
20x4_1_JobCorre_R_inter;374
20x4_1_JobCorre_R_uni;303
20x4_1_MachCorre_R_inter;164
20x4_1_MachCorre_R_uni;161
20x4_1_U_1_100__R_inter;113
20x4_1_U_1_100__R_uni;106
20x4_1_U_10_100__R_inter;150
20x4_1_U_10_100__R_uni;149
20x4_1_U_100_200__R_inter;623
20x4_1_U_100_200__R_uni;631
20x4_2_JobCorre_R_inter;328
20x4_2_JobCorre_R_uni;278
20x4_2_MachCorre_R_inter;387
20x4_2_MachCorre_R_uni;159
20x4_2_U_1_100__R_inter;110
20x4_2_U_1_100__R_uni;103
20x4_2_U_10_100__R_inter;147
20x4_2_U_10_100__R_uni;149
20x4_2_U_100_200__R_inter;626
20x4_2_U_100_200__R_uni;614
20x4_3_JobCorre_R_inter;328
20x4_3_JobCorre_R_uni;279
20x4_3_MachCorre_R_inter;202
20x4_3_MachCorre_R_uni;172
20x4_3_U_1_100__R_inter;108
20x4_3_U_1_100__R_uni;128
20x4_3_U_10_100__R_inter;147
20x4_3_U_10_100__R_uni;162
20x4_3_U_100_200__R_inter;609
20x4_3_U_100_200__R_uni;637
20x4_4_JobCorre_R_inter;254
20x4_4_JobCorre_R_uni;292
20x4_4_MachCorre_R_inter;234
20x4_4_MachCorre_R_uni;211
20x4_4_U_1_100__R_inter;96
20x4_4_U_1_100__R_uni;137
20x4_4_U_10_100__R_inter;134
20x4_4_U_10_100__R_uni;170
20x4_4_U_100_200__R_inter;604
20x4_4_U_100_200__R_uni;692
20x4_5_JobCorre_R_inter;297
20x4_5_JobCorre_R_uni;409
20x4_5_MachCorre_R_inter;391
20x4_5_MachCorre_R_uni;236
20x4_5_U_1_100__R_inter;109
20x4_5_U_1_100__R_uni;118
20x4_5_U_10_100__R_inter;152
20x4_5_U_10_100__R_uni;159
20x4_5_U_100_200__R_inter;613
20x4_5_U_100_200__R_uni;639
20x6_1_JobCorre_R_inter;212
20x6_1_JobCorre_R_uni;194
20x6_1_MachCorre_R_inter;177
20x6_1_MachCorre_R_uni;58
20x6_1_U_1_100__R_inter;75
20x6_1_U_1_100__R_uni;54
20x6_1_U_10_100__R_inter;102
20x6_1_U_10_100__R_uni;81
20x6_1_U_100_200__R_inter;440
20x6_1_U_100_200__R_uni;423
20x6_2_JobCorre_R_inter;171
20x6_2_JobCorre_R_uni;171
20x6_2_MachCorre_R_inter;162
20x6_2_MachCorre_R_uni;95
20x6_2_U_1_100__R_inter;82
20x6_2_U_1_100__R_uni;60
20x6_2_U_10_100__R_inter;107
20x6_2_U_10_100__R_uni;88
20x6_2_U_100_200__R_inter;456
20x6_2_U_100_200__R_uni;437
20x6_3_JobCorre_R_inter;185
20x6_3_JobCorre_R_uni;233
20x6_3_MachCorre_R_inter;192
20x6_3_MachCorre_R_uni;163
20x6_3_U_1_100__R_inter;59
20x6_3_U_1_100__R_uni;62
20x6_3_U_10_100__R_inter;86
20x6_3_U_10_100__R_uni;89
20x6_3_U_100_200__R_inter;436
20x6_3_U_100_200__R_uni;448
20x6_4_JobCorre_R_inter;182
20x6_4_JobCorre_R_uni;201
20x6_4_MachCorre_R_inter;62
20x6_4_MachCorre_R_uni;185
20x6_4_U_1_100__R_inter;51
20x6_4_U_1_100__R_uni;77
20x6_4_U_10_100__R_inter;76
20x6_4_U_10_100__R_uni;98
20x6_4_U_100_200__R_inter;420
20x6_4_U_100_200__R_uni;438
20x6_5_JobCorre_R_inter;164
20x6_5_JobCorre_R_uni;203
20x6_5_MachCorre_R_inter;143
20x6_5_MachCorre_R_uni;68
20x6_5_U_1_100__R_inter;61
20x6_5_U_1_100__R_uni;66
20x6_5_U_10_100__R_inter;88
20x6_5_U_10_100__R_uni;89
20x6_5_U_100_200__R_inter;428
20x6_5_U_100_200__R_uni;428
25x2_1_JobCorre_R_inter;768
