Instance;min_sol;max_LB
16x6_1_U_1_100__R_inter;66;66
16x6_1_U_1_100__R_uni;62;62
16x6_1_U_10_100__R_inter;85;85
16x6_1_U_10_100__R_uni;82;82
16x6_1_U_100_200__R_inter;356;356
16x6_1_U_100_200__R_uni;361;359
16x6_2_JobCorre_R_inter;155;153
16x6_2_JobCorre_R_uni;192;192
16x6_2_MachCorre_R_inter;126;126
16x6_2_MachCorre_R_uni;53;53
16x6_2_U_1_100__R_inter;48;48
16x6_2_U_1_100__R_uni;55;55
16x6_2_U_10_100__R_inter;69;69
16x6_2_U_10_100__R_uni;74;74
16x6_2_U_100_200__R_inter;344;344
16x6_2_U_100_200__R_uni;343;340
16x6_3_JobCorre_R_inter;169;169
16x6_3_JobCorre_R_uni;166;165
16x6_3_MachCorre_R_inter;103;103
16x6_3_MachCorre_R_uni;169;169
16x6_3_U_1_100__R_inter;64;64
16x6_3_U_1_100__R_uni;50;50
16x6_3_U_10_100__R_inter;81;81
16x6_3_U_10_100__R_uni;65;65
16x6_3_U_100_200__R_inter;356;356
16x6_3_U_100_200__R_uni;334;325
16x6_4_JobCorre_R_inter;128;128
16x6_4_JobCorre_R_uni;135;135
16x6_4_MachCorre_R_inter;145;145
16x6_4_MachCorre_R_uni;80;80
16x6_4_U_1_100__R_inter;47;47
16x6_4_U_1_100__R_uni;35;35
16x6_4_U_10_100__R_inter;69;69
16x6_4_U_10_100__R_uni;57;57
16x6_4_U_100_200__R_inter;326;326
16x6_4_U_100_200__R_uni;331;331
16x6_5_JobCorre_R_inter;168;168
16x6_5_JobCorre_R_uni;126;124
16x6_5_MachCorre_R_inter;161;161
16x6_5_MachCorre_R_uni;72;72
16x6_5_U_1_100__R_inter;70;70
16x6_5_U_1_100__R_uni;56;56
16x6_5_U_10_100__R_inter;86;86
16x6_5_U_10_100__R_uni;78;78
16x6_5_U_100_200__R_inter;356;356
16x6_5_U_100_200__R_uni;335;335
20x2_1_JobCorre_R_inter;532;529
20x2_1_JobCorre_R_uni;559;544
20x2_1_MachCorre_R_inter;670;594
20x2_1_MachCorre_R_uni;555;542
20x2_1_U_1_100__R_inter;398;356
20x2_1_U_1_100__R_uni;343;303
20x2_1_U_10_100__R_inter;454;417
20x2_1_U_10_100__R_uni;397;363
20x2_1_U_100_200__R_inter;1389;1364
20x2_1_U_100_200__R_uni;1397;1314
20x2_2_JobCorre_R_inter;762;684
20x2_2_JobCorre_R_uni;690;685
20x2_2_MachCorre_R_inter;318;318
20x2_2_MachCorre_R_uni;189;182
20x2_2_U_1_100__R_inter;370;370
